,Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,climate model
0,dynamic,No information,No information,No information,ebm,No information,No information,timeframe in hours,No information,No information,CLIMLAB 
1,dynamic,No information,No information,No information,ebm,No information,No information,timeframe in hours,No information,No information,CLIMLAB 
2,dynamic,No information,No information,No information,ebm,No information,No information,timeframe in hours,No information,No information,CLIMLAB 
3,dynamic,No information,No information,No information,ebm,No information,No information,timeframe in hours,No information,No information,CLIMLAB 
4,dynamic,No information,No information,No information,ebm,No information,No information,timeframe in hours,No information,No information,CLIMLAB 
5,dynamic,No information,No information,No information,ebm,No information,No information,timeframe in hours,No information,No information,CLIMLAB 
6,dynamic,No information,No information,No information,ebm,No information,No information,timeframe in hours,No information,No information,CLIMLAB 
7,dynamic,No information,No information,No information,ebm,No information,No information,timeframe in hours,No information,No information,CLIMLAB 
8,dynamic,No information,No information,No information,ebm,No information,No information,timeframe in hours,No information,No information,CLIMLAB 
9,dynamic,No information,No information,No information,ebm,No information,No information,timeframe in hours,No information,No information,CLIMLAB 
10,dynamic,No information,rcp ssp,gcm,No information,No information,fixed long lat,No information,No information,timeframe in years,CMIP5
11,dynamic,No information,rcp ssp,gcm,No information,No information,fixed long lat,No information,No information,timeframe in years,CMIP5
12,dynamic,No information,rcp ssp,gcm,No information,No information,fixed long lat,No information,No information,timeframe in years,CMIP5
13,dynamic,No information,rcp ssp,gcm,No information,No information,fixed long lat,No information,No information,timeframe in years,CMIP5
14,dynamic,No information,rcp ssp,gcm,No information,No information,fixed long lat,No information,No information,timeframe in years,CMIP5
15,dynamic,No information,rcp ssp,gcm,No information,No information,fixed long lat,No information,No information,timeframe in years,CMIP5
16,dynamic,No information,rcp ssp,gcm,No information,No information,fixed long lat,No information,No information,timeframe in years,CMIP5
17,dynamic,No information,rcp ssp,gcm,No information,No information,fixed long lat,No information,No information,timeframe in years,CMIP5
18,dynamic,No information,rcp ssp,gcm,No information,No information,fixed long lat,No information,No information,timeframe in years,CMIP5
19,dynamic,No information,rcp ssp,gcm,No information,No information,fixed long lat,No information,No information,timeframe in years,CMIP5
20,No information,ensemble,No information,gcm,No information,No information,No information,No information,timeframe in days,No information,CFSv2
21,No information,ensemble,No information,gcm,No information,No information,No information,No information,timeframe in days,No information,CFSv2
22,No information,ensemble,No information,gcm,No information,No information,No information,No information,timeframe in days,No information,CFSv2
23,No information,ensemble,No information,gcm,No information,No information,No information,No information,timeframe in days,No information,CFSv2
24,No information,ensemble,No information,gcm,No information,No information,No information,No information,timeframe in days,No information,CFSv2
25,No information,ensemble,No information,gcm,No information,No information,No information,No information,timeframe in days,No information,CFSv2
26,No information,ensemble,No information,gcm,No information,No information,No information,No information,timeframe in days,No information,CFSv2
27,No information,ensemble,No information,gcm,No information,No information,No information,No information,timeframe in days,No information,CFSv2
28,No information,ensemble,No information,gcm,No information,No information,No information,No information,timeframe in days,No information,CFSv2
